image_name,camera,index_in_camera,pair_index,variation_id,ground_truth_posture,ground_truth_status,ground_truth_error,ground_truth_error_text,ground_truth_side,label_name,image_path
DJI_20260917131455_0056_D.JPG,Cam 5,0,0,1,ARAMANDI,CORRECT,,,,ARAMANDI - CORRECT,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917131455_0056_D.JPG
DJI_20260917131459_0057_D.JPG,Cam 5,1,1,1,ARAMANDI,CORRECT,,,,ARAMANDI - CORRECT,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917131459_0057_D.JPG
DJI_20260917131827_0058_D.JPG,Cam 5,2,0,2,SAMAPADHAM,CORRECT,,,,SAMAPADHAM - CORRECT,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917131827_0058_D.JPG
DJI_20260917131830_0059_D.JPG,Cam 5,3,1,2,SAMAPADHAM,CORRECT,,,,SAMAPADHAM - CORRECT,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917131830_0059_D.JPG
DJI_20260917131942_0060_D.JPG,Cam 5,4,0,3,MUZHUMANDI,CORRECT,,,,MUZHUMANDI - CORRECT,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917131942_0060_D.JPG
DJI_20260917131944_0061_D.JPG,Cam 5,5,1,3,MUZHUMANDI,CORRECT,,,,MUZHUMANDI - CORRECT,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917131944_0061_D.JPG
DJI_20260917132031_0062_D.JPG,Cam 5,6,0,4,SWASTIKAPADAM,CORRECT,,,RIGHT,SWASTIKAPADAM - CORRECT - right leg,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132031_0062_D.JPG
DJI_20260917132033_0063_D.JPG,Cam 5,7,1,4,SWASTIKAPADAM,CORRECT,,,RIGHT,SWASTIKAPADAM - CORRECT - right leg,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132033_0063_D.JPG
DJI_20260917132059_0064_D.JPG,Cam 5,8,0,5,SWASTIKAPADAM,CORRECT,,,LEFT,SWASTIKAPADAM - CORRECT - left leg,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132059_0064_D.JPG
DJI_20260917132100_0065_D.JPG,Cam 5,9,1,5,SWASTIKAPADAM,CORRECT,,,LEFT,SWASTIKAPADAM - CORRECT - left leg,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132100_0065_D.JPG
DJI_20260917132133_0066_D.JPG,Cam 5,10,0,6,ARAMANDI,INCORRECT,INSUFFICIENT_KNEE_BEND,Insufficient knee bend,,ARAMANDI - INCORRECT - Insufficient knee bend,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132133_0066_D.JPG
DJI_20260917132135_0067_D.JPG,Cam 5,11,1,6,ARAMANDI,INCORRECT,INSUFFICIENT_KNEE_BEND,Insufficient knee bend,,ARAMANDI - INCORRECT - Insufficient knee bend,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132135_0067_D.JPG
DJI_20260917132212_0068_D.JPG,Cam 5,12,0,7,ARAMANDI,INCORRECT,FEET_TOO_FAR_APART,Feet too far apart,,ARAMANDI - INCORRECT - Feet too far apart,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132212_0068_D.JPG
DJI_20260917132213_0069_D.JPG,Cam 5,13,1,7,ARAMANDI,INCORRECT,FEET_TOO_FAR_APART,Feet too far apart,,ARAMANDI - INCORRECT - Feet too far apart,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132213_0069_D.JPG
DJI_20260917132228_0070_D.JPG,Cam 5,14,0,8,ARAMANDI,INCORRECT,FEET_NOT_IN_LINE,Feet not spread in a straight line / V-shaped,,ARAMANDI - INCORRECT - Feet not spread in a straight line / V-shaped,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132228_0070_D.JPG
DJI_20260917132230_0071_D.JPG,Cam 5,15,1,8,ARAMANDI,INCORRECT,FEET_NOT_IN_LINE,Feet not spread in a straight line / V-shaped,,ARAMANDI - INCORRECT - Feet not spread in a straight line / V-shaped,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132230_0071_D.JPG
DJI_20260917132310_0072_D.JPG,Cam 5,16,0,9,SAMAPADHAM,INCORRECT,FEET_TOO_FAR_APART,Feet too far apart,,SAMAPADHAM - INCORRECT - Feet too far apart,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132310_0072_D.JPG
DJI_20260917132312_0073_D.JPG,Cam 5,17,1,9,SAMAPADHAM,INCORRECT,FEET_TOO_FAR_APART,Feet too far apart,,SAMAPADHAM - INCORRECT - Feet too far apart,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132312_0073_D.JPG
DJI_20260917132527_0074_D.JPG,Cam 5,18,0,10,SAMAPADHAM,INCORRECT,FEET_NOT_ALIGNED,Feet not aligned / V-shaped,,SAMAPADHAM - INCORRECT - Feet not aligned / V-shaped,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132527_0074_D.JPG
DJI_20260917132528_0075_D.JPG,Cam 5,19,1,10,SAMAPADHAM,INCORRECT,FEET_NOT_ALIGNED,Feet not aligned / V-shaped,,SAMAPADHAM - INCORRECT - Feet not aligned / V-shaped,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132528_0075_D.JPG
DJI_20260917132546_0076_D.JPG,Cam 5,20,0,11,SAMAPADHAM,INCORRECT,WEIGHT_ON_ONE_LEG,More weight on one leg,,SAMAPADHAM - INCORRECT - More weight on one leg,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132546_0076_D.JPG
DJI_20260917132548_0077_D.JPG,Cam 5,21,1,11,SAMAPADHAM,INCORRECT,WEIGHT_ON_ONE_LEG,More weight on one leg,,SAMAPADHAM - INCORRECT - More weight on one leg,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132548_0077_D.JPG
DJI_20260917132617_0078_D.JPG,Cam 5,22,0,12,MUZHUMANDI,INCORRECT,KNEES_FACING_FORWARD,Feet and knees facing forward,,MUZHUMANDI - INCORRECT - Feet and knees facing forward,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132617_0078_D.JPG
DJI_20260917132619_0079_D.JPG,Cam 5,23,1,12,MUZHUMANDI,INCORRECT,KNEES_FACING_FORWARD,Feet and knees facing forward,,MUZHUMANDI - INCORRECT - Feet and knees facing forward,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132619_0079_D.JPG
DJI_20260917132650_0080_D.JPG,Cam 5,24,0,13,MUZHUMANDI,INCORRECT,BACK_BENT_FORWARD,Back bent forward,,MUZHUMANDI - INCORRECT - Back bent forward,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132650_0080_D.JPG
DJI_20260917132653_0081_D.JPG,Cam 5,25,1,13,MUZHUMANDI,INCORRECT,BACK_BENT_FORWARD,Back bent forward,,MUZHUMANDI - INCORRECT - Back bent forward,C:\Users\kavya\Desktop\VIT\SEM 9 YEAR 5\dataset\DATA FROM COLLEGE\Cam 5\DJI_20260917132653_0081_D.JPG
