model,ground_truth_posture,detected_posture,count
mediapipe,ALAPADMA,ALAPADMA,6
mediapipe,ALAPADMA,MUSHTI,1
mediapipe,ALAPADMA,PATAKA,2
mediapipe,ALAPADMA,SAMAPADHAM,6
mediapipe,ALAPADMA,TRANSITION,1
mediapipe,ARAMANDI,ARAMANDI,19
mediapipe,ARAMANDI,SAMAPADHAM,8
mediapipe,ARAMANDI,SWASTIKAPADAM,5
mediapipe,KATAKAMUKHA,ALAPADMA,6
mediapipe,KATAKAMUKHA,KATAKAMUKHA,1
mediapipe,KATAKAMUKHA,SAMAPADHAM,9
mediapipe,MUSHTI,MUSHTI,5
mediapipe,MUSHTI,PATAKA,2
mediapipe,MUSHTI,SAMAPADHAM,9
mediapipe,MUZHUMANDI,ARAMANDI,10
mediapipe,MUZHUMANDI,MUZHUMANDI,21
mediapipe,MUZHUMANDI,TRANSITION,1
mediapipe,PATAKA,NONE,2
mediapipe,PATAKA,PATAKA,11
mediapipe,PATAKA,SAMAPADHAM,3
mediapipe,SAMAPADHAM,SAMAPADHAM,28
mediapipe,SAMAPADHAM,SWASTIKAPADAM,4
mediapipe,SWASTIKAPADAM,ARAMANDI,14
mediapipe,SWASTIKAPADAM,SAMAPADHAM,14
mediapipe,SWASTIKAPADAM,SWASTIKAPADAM,20
openpose,ALAPADMA,SAMAPADHAM,12
openpose,ALAPADMA,SWASTIKAPADAM,4
openpose,ARAMANDI,ARAMANDI,20
openpose,ARAMANDI,MUZHUMANDI,1
openpose,ARAMANDI,SAMAPADHAM,7
openpose,ARAMANDI,TRANSITION,4
openpose,KATAKAMUKHA,SAMAPADHAM,14
openpose,KATAKAMUKHA,SWASTIKAPADAM,1
openpose,KATAKAMUKHA,TRANSITION,1
openpose,MUSHTI,SAMAPADHAM,15
openpose,MUSHTI,SWASTIKAPADAM,1
openpose,MUZHUMANDI,ARAMANDI,19
openpose,MUZHUMANDI,MUZHUMANDI,4
openpose,MUZHUMANDI,SAMAPADHAM,1
openpose,MUZHUMANDI,SWASTIKAPADAM,4
openpose,MUZHUMANDI,TRANSITION,4
openpose,PATAKA,SAMAPADHAM,10
openpose,PATAKA,SWASTIKAPADAM,5
openpose,PATAKA,TRANSITION,1
openpose,SAMAPADHAM,ARAMANDI,1
openpose,SAMAPADHAM,SAMAPADHAM,16
openpose,SAMAPADHAM,SWASTIKAPADAM,12
openpose,SAMAPADHAM,TRANSITION,3
openpose,SWASTIKAPADAM,ARAMANDI,21
openpose,SWASTIKAPADAM,SAMAPADHAM,5
openpose,SWASTIKAPADAM,SWASTIKAPADAM,22
yolopose,ALAPADMA,SAMAPADHAM,16
yolopose,ARAMANDI,ARAMANDI,12
yolopose,ARAMANDI,SAMAPADHAM,14
yolopose,ARAMANDI,SWASTIKAPADAM,6
yolopose,KATAKAMUKHA,SAMAPADHAM,16
yolopose,MUSHTI,SAMAPADHAM,16
yolopose,MUZHUMANDI,ARAMANDI,1
yolopose,MUZHUMANDI,MUZHUMANDI,18
yolopose,MUZHUMANDI,SAMAPADHAM,1
yolopose,MUZHUMANDI,TRANSITION,12
yolopose,PATAKA,SAMAPADHAM,16
yolopose,SAMAPADHAM,SAMAPADHAM,32
yolopose,SWASTIKAPADAM,ARAMANDI,14
yolopose,SWASTIKAPADAM,SAMAPADHAM,6
yolopose,SWASTIKAPADAM,SWASTIKAPADAM,28
rtmpose,ALAPADMA,SAMAPADHAM,16
rtmpose,ARAMANDI,ARAMANDI,22
rtmpose,ARAMANDI,SAMAPADHAM,6
rtmpose,ARAMANDI,SWASTIKAPADAM,4
rtmpose,KATAKAMUKHA,SAMAPADHAM,16
rtmpose,MUSHTI,SAMAPADHAM,16
rtmpose,MUZHUMANDI,MUZHUMANDI,32
rtmpose,PATAKA,SAMAPADHAM,16
rtmpose,SAMAPADHAM,SAMAPADHAM,32
rtmpose,SWASTIKAPADAM,ARAMANDI,19
rtmpose,SWASTIKAPADAM,SAMAPADHAM,5
rtmpose,SWASTIKAPADAM,SWASTIKAPADAM,24
rtmw,ALAPADMA,ALAPADMA,9
rtmw,ALAPADMA,SAMAPADHAM,5
rtmw,ALAPADMA,TRANSITION,2
rtmw,ARAMANDI,ARAMANDI,19
rtmw,ARAMANDI,SAMAPADHAM,7
rtmw,ARAMANDI,SWASTIKAPADAM,6
rtmw,KATAKAMUKHA,ALAPADMA,3
rtmw,KATAKAMUKHA,KATAKAMUKHA,4
rtmw,KATAKAMUKHA,MUSHTI,2
rtmw,KATAKAMUKHA,NONE,2
rtmw,KATAKAMUKHA,PATAKA,1
rtmw,KATAKAMUKHA,SAMAPADHAM,4
rtmw,MUSHTI,KATAKAMUKHA,1
rtmw,MUSHTI,MUSHTI,7
rtmw,MUSHTI,PATAKA,4
rtmw,MUSHTI,SAMAPADHAM,4
rtmw,MUZHUMANDI,MUZHUMANDI,32
rtmw,PATAKA,ALAPADMA,1
rtmw,PATAKA,MUSHTI,1
rtmw,PATAKA,NONE,1
rtmw,PATAKA,PATAKA,10
rtmw,PATAKA,SAMAPADHAM,3
rtmw,SAMAPADHAM,SAMAPADHAM,29
rtmw,SAMAPADHAM,SWASTIKAPADAM,3
rtmw,SWASTIKAPADAM,ARAMANDI,20
rtmw,SWASTIKAPADAM,SAMAPADHAM,9
rtmw,SWASTIKAPADAM,SWASTIKAPADAM,19
