model_name,camera,images,dominant_view,dominant_facing,coronal_pct,sagittal_pct,posture_recognised_pct,posture_accuracy_pct,posture_accuracy_of_recognised_pct,status_accuracy_pct,mudra_measurable_pct
rtmw_l_wholebody,Cam 5,52,CORONAL,FRONT,100.0,0.0,100.0,84.6,84.6,75.0,96.2
rtmw_l_wholebody,Cam 6,52,SAGITTAL,FRONT,3.8,96.2,100.0,61.5,61.5,40.4,100.0
rtmw_l_wholebody,Cam 7,52,SAGITTAL,FRONT,3.8,96.2,100.0,57.7,57.7,44.2,100.0
rtmw_l_wholebody,Cam 8,52,CORONAL,BACK,98.1,1.9,94.2,48.1,51.0,59.6,15.4
dwpose_l_wholebody,Cam 5,52,CORONAL,FRONT,100.0,0.0,100.0,82.7,82.7,65.4,96.2
dwpose_l_wholebody,Cam 6,52,SAGITTAL,FRONT,3.8,96.2,100.0,61.5,61.5,46.2,92.3
dwpose_l_wholebody,Cam 7,52,SAGITTAL,FRONT,3.8,96.2,98.1,59.6,60.8,48.1,88.5
dwpose_l_wholebody,Cam 8,52,CORONAL,BACK,100.0,0.0,98.1,40.4,41.2,61.5,11.5
rtmpose_m_halpe26,Cam 5,52,CORONAL,FRONT,100.0,0.0,100.0,59.6,59.6,65.4,0.0
rtmpose_m_halpe26,Cam 6,52,SAGITTAL,FRONT,3.8,96.2,100.0,44.2,44.2,28.8,0.0
rtmpose_m_halpe26,Cam 7,52,SAGITTAL,FRONT,3.8,96.2,100.0,48.1,48.1,42.3,0.0
rtmpose_m_halpe26,Cam 8,52,CORONAL,BACK,100.0,0.0,100.0,48.1,48.1,65.4,0.0
