model_name,ground_truth_error,images,posture_correct,flagged_incorrect,flagged_incorrect_pct,exact_error_match,exact_error_match_pct,most_common_predicted_error
rtmw_l_wholebody,BACK_BENT_FORWARD,8,8,8,100.0,4,50.0,BACK_BENT_FORWARD
rtmw_l_wholebody,ELBOWS_NOT_ALIGNED,16,12,9,56.2,4,25.0,ELBOWS_NOT_ALIGNED
rtmw_l_wholebody,FEET_APART_HEEL_DOWN,8,8,4,50.0,2,25.0,FEET_APART_HEEL_DOWN
rtmw_l_wholebody,FEET_NOT_ALIGNED,8,6,6,75.0,4,50.0,FEET_NOT_ALIGNED
rtmw_l_wholebody,FEET_NOT_IN_LINE,8,6,5,62.5,0,0.0,FEET_NOT_ALIGNED
rtmw_l_wholebody,FEET_TOO_FAR_APART,16,14,10,62.5,8,50.0,FEET_TOO_FAR_APART
rtmw_l_wholebody,FINGERS_BENT,8,3,5,62.5,3,37.5,FINGERS_BENT
rtmw_l_wholebody,FINGERS_TOO_FAR_APART,8,4,4,50.0,2,25.0,ELBOWS_NOT_ALIGNED
rtmw_l_wholebody,INSUFFICIENT_ARAMANDI,16,9,12,75.0,9,56.2,INSUFFICIENT_ARAMANDI
rtmw_l_wholebody,INSUFFICIENT_KNEE_BEND,8,2,7,87.5,1,12.5,INSUFFICIENT_ARAMANDI
rtmw_l_wholebody,KNEES_FACING_FORWARD,8,8,4,50.0,3,37.5,KNEES_FACING_FORWARD
rtmw_l_wholebody,OVERCROSSING_SHINS,16,5,8,50.0,0,0.0,INSUFFICIENT_ARAMANDI
rtmw_l_wholebody,PINKY_DROPPED,8,4,3,37.5,1,12.5,FEET_NOT_ALIGNED
rtmw_l_wholebody,WEIGHT_ON_ONE_LEG,8,8,4,50.0,0,0.0,FEET_NOT_ALIGNED
dwpose_l_wholebody,BACK_BENT_FORWARD,8,7,6,75.0,4,50.0,BACK_BENT_FORWARD
dwpose_l_wholebody,ELBOWS_NOT_ALIGNED,16,12,8,50.0,4,25.0,ELBOWS_NOT_ALIGNED
dwpose_l_wholebody,FEET_APART_HEEL_DOWN,8,8,8,100.0,2,25.0,BACK_BENT_FORWARD
dwpose_l_wholebody,FEET_NOT_ALIGNED,8,8,4,50.0,4,50.0,FEET_NOT_ALIGNED
dwpose_l_wholebody,FEET_NOT_IN_LINE,8,4,7,87.5,0,0.0,EXCESSIVE_KNEE_BEND
dwpose_l_wholebody,FEET_TOO_FAR_APART,16,14,10,62.5,8,50.0,FEET_TOO_FAR_APART
dwpose_l_wholebody,FINGERS_BENT,8,0,3,37.5,0,0.0,ELBOWS_NOT_ALIGNED
dwpose_l_wholebody,FINGERS_TOO_FAR_APART,8,6,5,62.5,3,37.5,FINGERS_TOO_FAR_APART
dwpose_l_wholebody,INSUFFICIENT_ARAMANDI,16,3,7,43.8,3,18.8,FEET_NOT_ALIGNED
dwpose_l_wholebody,INSUFFICIENT_KNEE_BEND,8,4,6,75.0,2,25.0,FEET_NOT_ALIGNED
dwpose_l_wholebody,KNEES_FACING_FORWARD,8,8,3,37.5,3,37.5,KNEES_FACING_FORWARD
dwpose_l_wholebody,OVERCROSSING_SHINS,16,7,10,62.5,0,0.0,INSUFFICIENT_ARAMANDI
dwpose_l_wholebody,PINKY_DROPPED,8,4,3,37.5,2,25.0,PINKY_DROPPED
dwpose_l_wholebody,WEIGHT_ON_ONE_LEG,8,8,4,50.0,0,0.0,FEET_NOT_ALIGNED
rtmpose_m_halpe26,BACK_BENT_FORWARD,8,8,7,87.5,4,50.0,BACK_BENT_FORWARD
rtmpose_m_halpe26,ELBOWS_NOT_ALIGNED,16,0,4,25.0,0,0.0,FEET_NOT_ALIGNED
rtmpose_m_halpe26,FEET_APART_HEEL_DOWN,8,8,4,50.0,2,25.0,FEET_APART_HEEL_DOWN
rtmpose_m_halpe26,FEET_NOT_ALIGNED,8,8,4,50.0,4,50.0,FEET_NOT_ALIGNED
rtmpose_m_halpe26,FEET_NOT_IN_LINE,8,5,4,50.0,0,0.0,FEET_NOT_ALIGNED
rtmpose_m_halpe26,FEET_TOO_FAR_APART,16,14,10,62.5,8,50.0,FEET_TOO_FAR_APART
rtmpose_m_halpe26,FINGERS_BENT,8,0,0,0.0,0,0.0,
rtmpose_m_halpe26,FINGERS_TOO_FAR_APART,8,0,1,12.5,0,0.0,FEET_NOT_ALIGNED
rtmpose_m_halpe26,INSUFFICIENT_ARAMANDI,16,9,9,56.2,5,31.2,INSUFFICIENT_ARAMANDI
rtmpose_m_halpe26,INSUFFICIENT_KNEE_BEND,8,4,6,75.0,0,0.0,FEET_NOT_ALIGNED
rtmpose_m_halpe26,KNEES_FACING_FORWARD,8,8,4,50.0,4,50.0,KNEES_FACING_FORWARD
rtmpose_m_halpe26,OVERCROSSING_SHINS,16,4,11,68.8,0,0.0,INSUFFICIENT_ARAMANDI
rtmpose_m_halpe26,PINKY_DROPPED,8,0,0,0.0,0,0.0,
rtmpose_m_halpe26,WEIGHT_ON_ONE_LEG,8,8,4,50.0,0,0.0,FEET_NOT_ALIGNED
