model_name,parameter,computed_count,total_images,completeness_pct,mean,std,min,median,max
rtmw_l_wholebody,variation_id,208,208,100.0,13.5,7.5181,1.0,13.5,26.0
rtmw_l_wholebody,hand_refined_left,208,208,100.0,1.0,0.0,1.0,1.0,1.0
rtmw_l_wholebody,hand_refined_right,208,208,100.0,1.0,0.0,1.0,1.0,1.0
rtmw_l_wholebody,processing_ms,208,208,100.0,581.527,90.8997,423.81,580.14,1015.77
rtmw_l_wholebody,detect_ms,208,208,100.0,404.0475,68.131,295.15,405.055,734.64
rtmw_l_wholebody,pose_ms,208,208,100.0,177.4796,38.0127,126.58,169.655,418.46
rtmw_l_wholebody,landmarks_supported_by_model,208,208,100.0,67.0,0.0,67.0,67.0,67.0
rtmw_l_wholebody,required_landmarks_available,208,208,100.0,1.0,0.0,1.0,1.0,1.0
rtmw_l_wholebody,parameter_calculation_ok,208,208,100.0,1.0,0.0,1.0,1.0,1.0
rtmw_l_wholebody,landmarks_available_count,208,208,100.0,64.2452,5.2404,44.0,67.0,67.0
rtmw_l_wholebody,body_landmarks_available,208,208,100.0,1.0,0.0,1.0,1.0,1.0
rtmw_l_wholebody,feet_landmarks_available,208,208,100.0,1.0,0.0,1.0,1.0,1.0
rtmw_l_wholebody,arm_landmarks_available,208,208,100.0,1.0,0.0,1.0,1.0,1.0
rtmw_l_wholebody,left_hand_available,208,208,100.0,0.6875,0.4646,0.0,1.0,1.0
rtmw_l_wholebody,right_hand_available,208,208,100.0,0.7212,0.4495,0.0,1.0,1.0
rtmw_l_wholebody,left_knee_flexion_deg,208,208,100.0,34.4131,48.5831,0.0313,9.2793,160.3436
rtmw_l_wholebody,right_knee_flexion_deg,208,208,100.0,35.4267,48.3856,0.0705,10.3237,163.5055
rtmw_l_wholebody,mean_knee_flexion_deg,208,208,100.0,34.9199,47.6811,0.6524,9.8785,157.4999
rtmw_l_wholebody,left_knee_joint_angle_deg,208,208,100.0,145.5869,48.5831,19.6564,170.7207,179.9687
rtmw_l_wholebody,right_knee_joint_angle_deg,208,208,100.0,144.5733,48.3856,16.4945,169.6763,179.9295
rtmw_l_wholebody,knee_asymmetry_deg,107,208,51.4,8.3222,12.3808,0.0804,3.2251,61.9555
rtmw_l_wholebody,foot_separation_norm,107,208,51.4,0.4811,0.2871,0.0,0.4159,1.2303
rtmw_l_wholebody,heel_separation_norm,107,208,51.4,0.4071,0.2686,0.043,0.3061,1.1628
rtmw_l_wholebody,toe_separation_norm,107,208,51.4,0.7113,0.5526,0.0,0.4901,2.1662
rtmw_l_wholebody,toe_heel_separation_ratio,107,208,51.4,2.0453,2.3233,0.0,1.4032,18.7882
rtmw_l_wholebody,foot_line_deviation_deg,107,208,51.4,10.9554,15.0446,0.0,5.1944,90.0
rtmw_l_wholebody,ankle_line_deviation_deg,106,208,51.0,11.3858,16.333,0.0,5.6084,90.0
rtmw_l_wholebody,left_foot_turnout_deg,98,208,47.1,42.049,28.874,0.0,41.169,90.0
rtmw_l_wholebody,right_foot_turnout_deg,99,208,47.6,38.1673,30.9277,0.0,37.6942,90.0
rtmw_l_wholebody,mean_foot_turnout_deg,105,208,50.5,40.0991,28.9526,0.0,39.0695,90.0
rtmw_l_wholebody,foot_turnout_asymmetry_deg,92,208,44.2,10.9411,12.1198,0.0,7.3697,75.2801
rtmw_l_wholebody,left_knee_foot_alignment_deg,107,208,51.4,48.7922,29.3201,0.3311,46.0556,89.9999
rtmw_l_wholebody,right_knee_foot_alignment_deg,107,208,51.4,47.6662,30.2235,2.4488,48.6915,89.4585
rtmw_l_wholebody,mean_knee_foot_alignment_deg,107,208,51.4,48.2292,28.029,2.0726,44.3459,85.9785
rtmw_l_wholebody,knee_spread_norm,107,208,51.4,0.9171,0.6953,0.0196,0.6873,2.9331
rtmw_l_wholebody,knee_over_ankle_spread_ratio,106,208,51.0,3.8276,13.4482,0.0227,1.8171,137.2783
rtmw_l_wholebody,trunk_inclination_deg,208,208,100.0,2.709,3.9772,0.0,1.5534,29.1602
rtmw_l_wholebody,hip_tilt_deg,106,208,51.0,2.6495,2.4549,0.0,1.9092,11.3099
