model_name,variation_id,ground_truth_posture,ground_truth_status,ground_truth_error,images,posture_correct,posture_accuracy_pct,status_correct,status_accuracy_pct,error_correct,most_common_prediction,most_common_error
rtmw_l_wholebody,1,ARAMANDI,CORRECT,,8,4,50.0,0,0.0,0,ARAMANDI,FEET_NOT_ALIGNED
rtmw_l_wholebody,2,SAMAPADHAM,CORRECT,,8,7,87.5,5,62.5,0,SAMAPADHAM,FEET_NOT_ALIGNED
rtmw_l_wholebody,3,MUZHUMANDI,CORRECT,,8,8,100.0,4,50.0,0,MUZHUMANDI,KNEES_FACING_FORWARD
rtmw_l_wholebody,4,SWASTIKAPADAM,CORRECT,,8,4,50.0,3,37.5,0,SWASTIKAPADAM,INSUFFICIENT_ARAMANDI
rtmw_l_wholebody,5,SWASTIKAPADAM,CORRECT,,8,3,37.5,6,75.0,0,ARAMANDI,FEET_NOT_ALIGNED
rtmw_l_wholebody,6,ARAMANDI,INCORRECT,INSUFFICIENT_KNEE_BEND,8,2,25.0,7,87.5,1,SWASTIKAPADAM,INSUFFICIENT_ARAMANDI
rtmw_l_wholebody,7,ARAMANDI,INCORRECT,FEET_TOO_FAR_APART,8,6,75.0,6,75.0,4,ARAMANDI,FEET_TOO_FAR_APART
rtmw_l_wholebody,8,ARAMANDI,INCORRECT,FEET_NOT_IN_LINE,8,6,75.0,5,62.5,0,ARAMANDI,FEET_NOT_ALIGNED
rtmw_l_wholebody,9,SAMAPADHAM,INCORRECT,FEET_TOO_FAR_APART,8,8,100.0,4,50.0,4,SAMAPADHAM,FEET_TOO_FAR_APART
rtmw_l_wholebody,10,SAMAPADHAM,INCORRECT,FEET_NOT_ALIGNED,8,6,75.0,6,75.0,4,SAMAPADHAM,FEET_NOT_ALIGNED
rtmw_l_wholebody,11,SAMAPADHAM,INCORRECT,WEIGHT_ON_ONE_LEG,8,8,100.0,4,50.0,0,SAMAPADHAM,FEET_NOT_ALIGNED
rtmw_l_wholebody,12,MUZHUMANDI,INCORRECT,KNEES_FACING_FORWARD,8,8,100.0,4,50.0,3,MUZHUMANDI,KNEES_FACING_FORWARD
rtmw_l_wholebody,13,MUZHUMANDI,INCORRECT,BACK_BENT_FORWARD,8,8,100.0,8,100.0,4,MUZHUMANDI,BACK_BENT_FORWARD
rtmw_l_wholebody,14,MUZHUMANDI,INCORRECT,FEET_APART_HEEL_DOWN,8,8,100.0,4,50.0,2,MUZHUMANDI,FEET_APART_HEEL_DOWN
rtmw_l_wholebody,15,SWASTIKAPADAM,INCORRECT,OVERCROSSING_SHINS,8,3,37.5,4,50.0,0,ARAMANDI,INSUFFICIENT_ARAMANDI
rtmw_l_wholebody,16,SWASTIKAPADAM,INCORRECT,OVERCROSSING_SHINS,8,2,25.0,4,50.0,0,ARAMANDI,INSUFFICIENT_KNEE_BEND
rtmw_l_wholebody,17,SWASTIKAPADAM,INCORRECT,INSUFFICIENT_ARAMANDI,8,4,50.0,6,75.0,4,SWASTIKAPADAM,INSUFFICIENT_ARAMANDI
rtmw_l_wholebody,18,SWASTIKAPADAM,INCORRECT,INSUFFICIENT_ARAMANDI,8,5,62.5,6,75.0,5,SWASTIKAPADAM,INSUFFICIENT_ARAMANDI
rtmw_l_wholebody,19,PATAKA,INCORRECT,ELBOWS_NOT_ALIGNED,8,6,75.0,3,37.5,2,PATAKA,ELBOWS_NOT_ALIGNED
rtmw_l_wholebody,20,ALAPADMA,INCORRECT,ELBOWS_NOT_ALIGNED,8,6,75.0,6,75.0,2,ALAPADMA,ELBOWS_NOT_ALIGNED
rtmw_l_wholebody,21,ALAPADMA,CORRECT,,8,4,50.0,1,12.5,0,ALAPADMA,ELBOWS_NOT_ALIGNED
rtmw_l_wholebody,22,MUSHTI,CORRECT,,8,3,37.5,3,37.5,0,MUSHTI,FEET_NOT_ALIGNED
rtmw_l_wholebody,23,KATAKAMUKHA,CORRECT,,8,1,12.5,3,37.5,0,,ELBOWS_NOT_ALIGNED
rtmw_l_wholebody,24,PATAKA,INCORRECT,FINGERS_TOO_FAR_APART,8,4,50.0,4,50.0,2,PATAKA,ELBOWS_NOT_ALIGNED
rtmw_l_wholebody,25,KATAKAMUKHA,INCORRECT,FINGERS_BENT,8,3,37.5,5,62.5,3,KATAKAMUKHA,FINGERS_BENT
rtmw_l_wholebody,26,MUSHTI,INCORRECT,PINKY_DROPPED,8,4,50.0,3,37.5,1,MUSHTI,FEET_NOT_ALIGNED
dwpose_l_wholebody,1,ARAMANDI,CORRECT,,8,6,75.0,0,0.0,0,ARAMANDI,FEET_NOT_IN_LINE
dwpose_l_wholebody,2,SAMAPADHAM,CORRECT,,8,8,100.0,7,87.5,0,SAMAPADHAM,FEET_NOT_ALIGNED
dwpose_l_wholebody,3,MUZHUMANDI,CORRECT,,8,8,100.0,4,50.0,0,MUZHUMANDI,KNEES_FACING_FORWARD
dwpose_l_wholebody,4,SWASTIKAPADAM,CORRECT,,8,3,37.5,3,37.5,0,SAMAPADHAM,INSUFFICIENT_ARAMANDI
dwpose_l_wholebody,5,SWASTIKAPADAM,CORRECT,,8,4,50.0,3,37.5,0,SWASTIKAPADAM,INSUFFICIENT_ARAMANDI
dwpose_l_wholebody,6,ARAMANDI,INCORRECT,INSUFFICIENT_KNEE_BEND,8,4,50.0,6,75.0,2,ARAMANDI,FEET_NOT_ALIGNED
dwpose_l_wholebody,7,ARAMANDI,INCORRECT,FEET_TOO_FAR_APART,8,6,75.0,6,75.0,4,ARAMANDI,FEET_TOO_FAR_APART
dwpose_l_wholebody,8,ARAMANDI,INCORRECT,FEET_NOT_IN_LINE,8,4,50.0,7,87.5,0,ARAMANDI,EXCESSIVE_KNEE_BEND
dwpose_l_wholebody,9,SAMAPADHAM,INCORRECT,FEET_TOO_FAR_APART,8,8,100.0,4,50.0,4,SAMAPADHAM,FEET_TOO_FAR_APART
dwpose_l_wholebody,10,SAMAPADHAM,INCORRECT,FEET_NOT_ALIGNED,8,8,100.0,4,50.0,4,SAMAPADHAM,FEET_NOT_ALIGNED
dwpose_l_wholebody,11,SAMAPADHAM,INCORRECT,WEIGHT_ON_ONE_LEG,8,8,100.0,4,50.0,0,SAMAPADHAM,FEET_NOT_ALIGNED
dwpose_l_wholebody,12,MUZHUMANDI,INCORRECT,KNEES_FACING_FORWARD,8,8,100.0,3,37.5,3,MUZHUMANDI,KNEES_FACING_FORWARD
dwpose_l_wholebody,13,MUZHUMANDI,INCORRECT,BACK_BENT_FORWARD,8,7,87.5,6,75.0,4,MUZHUMANDI,BACK_BENT_FORWARD
dwpose_l_wholebody,14,MUZHUMANDI,INCORRECT,FEET_APART_HEEL_DOWN,8,8,100.0,8,100.0,2,MUZHUMANDI,BACK_BENT_FORWARD
dwpose_l_wholebody,15,SWASTIKAPADAM,INCORRECT,OVERCROSSING_SHINS,8,3,37.5,4,50.0,0,ARAMANDI,INSUFFICIENT_ARAMANDI
dwpose_l_wholebody,16,SWASTIKAPADAM,INCORRECT,OVERCROSSING_SHINS,8,4,50.0,6,75.0,0,SWASTIKAPADAM,INSUFFICIENT_ARAMANDI
dwpose_l_wholebody,17,SWASTIKAPADAM,INCORRECT,INSUFFICIENT_ARAMANDI,8,1,12.5,4,50.0,1,SAMAPADHAM,FEET_NOT_ALIGNED
dwpose_l_wholebody,18,SWASTIKAPADAM,INCORRECT,INSUFFICIENT_ARAMANDI,8,2,25.0,3,37.5,2,ARAMANDI,INSUFFICIENT_ARAMANDI
dwpose_l_wholebody,19,PATAKA,INCORRECT,ELBOWS_NOT_ALIGNED,8,6,75.0,2,25.0,2,PATAKA,ELBOWS_NOT_ALIGNED
dwpose_l_wholebody,20,ALAPADMA,INCORRECT,ELBOWS_NOT_ALIGNED,8,6,75.0,6,75.0,2,ALAPADMA,ELBOWS_NOT_ALIGNED
dwpose_l_wholebody,21,ALAPADMA,CORRECT,,8,3,37.5,3,37.5,0,ALAPADMA,ELBOWS_NOT_ALIGNED
dwpose_l_wholebody,22,MUSHTI,CORRECT,,8,1,12.5,6,75.0,0,SAMAPADHAM,ELBOWS_NOT_ALIGNED
dwpose_l_wholebody,23,KATAKAMUKHA,CORRECT,,8,1,12.5,5,62.5,0,SAMAPADHAM,ELBOWS_NOT_ALIGNED
dwpose_l_wholebody,24,PATAKA,INCORRECT,FINGERS_TOO_FAR_APART,8,6,75.0,5,62.5,3,PATAKA,FINGERS_TOO_FAR_APART
dwpose_l_wholebody,25,KATAKAMUKHA,INCORRECT,FINGERS_BENT,8,0,0.0,3,37.5,0,SAMAPADHAM,ELBOWS_NOT_ALIGNED
dwpose_l_wholebody,26,MUSHTI,INCORRECT,PINKY_DROPPED,8,4,50.0,3,37.5,2,MUSHTI,PINKY_DROPPED
rtmpose_m_halpe26,1,ARAMANDI,CORRECT,,8,5,62.5,0,0.0,0,ARAMANDI,FEET_NOT_ALIGNED
rtmpose_m_halpe26,2,SAMAPADHAM,CORRECT,,8,8,100.0,5,62.5,0,SAMAPADHAM,FEET_NOT_ALIGNED
rtmpose_m_halpe26,3,MUZHUMANDI,CORRECT,,8,8,100.0,4,50.0,0,MUZHUMANDI,KNEES_FACING_FORWARD
rtmpose_m_halpe26,4,SWASTIKAPADAM,CORRECT,,8,4,50.0,1,12.5,0,ARAMANDI,INSUFFICIENT_ARAMANDI
rtmpose_m_halpe26,5,SWASTIKAPADAM,CORRECT,,8,3,37.5,7,87.5,0,ARAMANDI,INSUFFICIENT_ARAMANDI
rtmpose_m_halpe26,6,ARAMANDI,INCORRECT,INSUFFICIENT_KNEE_BEND,8,4,50.0,6,75.0,0,ARAMANDI,FEET_NOT_ALIGNED
